STNAME,STCD,river,point_id
响泉,370406106227001,112,1
尚庄,370406106201002,183,2
张东庄,370406106201003,187,3
石楼山湾,370406106201004,193,4
南峪,370406106201005,205,5
桥上,370406106201006,182,6
南山头,370406106210001,153,7
常山村,370406106201007,200,8
尚官庄,370406106210004,181,9
穆家洞,370406106201008,161,10
马山湾,370406106209003,211,11
北柳泉,370406106211004,180,12
小李庄,370406106227003,121,13
刘庄,370406106201009,192,14
新声村,370406001239002,124,15
大岩店,370406001201003,144,16
孔寨,370406001202001,134,17
白龙湾村,370406106209001,156,18
龙头湾,370406106201001,154,19
西郭庄,370406106207001,151,20
中水门口,370406106219001,82,21
邢岭,370406106202001,118,22
龙王堂,370406106220001,116,23
于山前,370406106218001,79,24
南台,370406106202002,138,25
高山头,370406106209002,125,26
黄庄,370406106208002,195,27
南水门口,370406106219003,99,28
柳树峪,370406106213001,47,29
岭东,370406106214001,34,30
三岔河,370406106215001,23,31
涝岭,370406106222001,40,32
河西,370406106222002,18,33
前徐,370406106205001,119,34
王庄1,370406106223001,2,35
王庄2,370406106215002,3,36
北沟,370406106214002,19,37
西北山,370406106205002,89,38
焦山空,370406106208001,139,39
西马庄,370406106221001,59,40
棠梨树库西,370406106216001,30,41
幸福村,370406106216002,11,42
尖山子,370406106216003,7,43
徐庄村,370406106210002,97,44
彭庄,370406106200001,70,45
孙家庄,370406106200002,101,46
涝滩,370406106200003,84,47
南岭,370406106200004,63,48
柿黄峪,370406106200005,63,49
乔山,370406106202003,92,50
大荒,370406106202004,94,51
土山,370406106203002,96,52
元宝山,370406106203003,65,53
南山湾,370406106203004,96,54
上胡沟,370406106204001,42,55
下胡沟,370406106204002,56,56
核桃湾,370406106204003,38,57
贾庄,370406106204004,51,58
西柿行,370406106206001,67,59
东柿行,370406106206002,71,60
王湾,370406106206003,115,61
峨子山西,370406106213002,57,62
宋山口,370406106213003,58,63
峨子山东,370406106213004,61,64
苇湖,370406106214003,46,65
石门,370406106214004,39,66
武庄,370406106215003,3,67
棠梨树库东,370406106216004,29,68
核桃树,370406106216005,4,69
岭后,370406106214005,31,70
青石岭,370406106215004,12,71
米山顶,370406106217000,1,72
水城子,370406106218002,62,73
北水门口,370406106219002,73,74
大花山头,370406106220002,77,75
小花山头,370406106220003,87,76
后峪,370406106221002,36,77
后鲁,370406106222003,32,78
前鲁,370406106222004,53,79
芮庄,370406106222005,24,80
上岭,370406106223002,6,81
九子峪,370406106223003,10,82
郝庄,370406106223004,5,83
白水泉,370406106215005,8,84
南官庄,370406001202003,123,85
庞庄,370406001202002,159,86
驻驾村,370406001201004,159,87
南柳泉,370406106211001,191,88
化眉庄,370406106211002,208,89
大峪,370406106226001,165,90
栗园,370406106212001,163,91
凫山口,370406106225001,227,92
郝台,370406106226002,209,93
磨泉,370406106211003,204,94
王庄4,370406106224004,130,95
赵山头,370406106225002,213,96
伏山根,370406106224002,173,97
大李庄,370406106227002,108,98
史山头,370406106224003,130,99
陡山头,370406106212002,175,100
王洼,370406106225003,174,101
小岩店,370406001201001,141,102
中岩店,370406001201002,142,103
岩底,370406001203001,172,104
老朴山,370406001204001,201,105
胡沃,370406001203002,196,106
吴庄,370406001204002,221,107
大梨园,370406001204003,219,108
小王庄,370406001205000,220,109
大岩头村,370406001206001,212,110
小岩头,370406001206002,212,111
驳山头,370406001207000,235,112
胡沟水库,5120023B,55,113
黄庄水库,5120032B,189,114
后观水库,5120033B,22,115
庄里水库,51208860,232,116
南山头水库,5120034B,152,117
石门水库,51208672,16,118
